,sample,log_conc_truesoil,acronym
215,451,9.057292443,16S
216,428,8.82229614,16S
217,724,8.839314453,16S
218,332,9.069273002,16S
219,339,9.194142404,16S
220,220,8.88493092,16S
221,248,7.627701933,16S
222,243,9.055550886,16S
223,416,8.533349943,16S
224,405,9.078067227,16S
225,412,8.755722942,16S
226,647,9.33403421,16S
227,636,9.427021386,16S
228,452,9.339254929,16S
229,330,8.872640128,16S
230,446,8.87339153,16S
231,532,8.320674769,16S
232,707,9.027881079,16S
233,546,9.334568417,16S
234,553,9.63892372,16S
235,731,9.452720851,16S
236,649,9.40844831,16S
237,244,9.775735306,16S
238,639,7.900748295,16S
239,542,9.532403861,16S
240,751,9.286283785,16S
241,350,NA,16S
242,507,8.902419114,16S
243,703,9.364883001,16S
244,207,8.124449299,16S
245,612,9.679148802,16S
246,528,8.933957057,16S
247,626,9.389081275,16S
248,651,9.4685153,16S
249,754,9.253890868,16S
250,709,9.11180943,16S
251,245,9.289155955,16S
252,252,9.446353885,16S
253,637,8.181650778,16S
254,227,9.131260868,16S
255,255,9.719077691,16S
256,438,9.163195557,16S
257,250,9.382818399,16S
258,633,9.197373599,16S
259,331,9.573486595,16S
260,655,9.407180522,16S
261,646,9.093098327,16S
262,337,8.959870797,16S
263,344,9.621995014,16S
264,723,9.026725254,16S
265,717,8.895129597,16S
266,714,9.096693404,16S
267,721,8.055719556,16S
268,730,8.876817961,16S
269,638,8.076558354,16S
270,728,9.379225154,16S
271,610,9.360526075,16S
272,701,8.788995578,16S
273,653,9.640860377,16S
274,622,9.363520589,16S
275,343,9.422440895,16S
276,640,9.423882571,16S
277,521,9.159631526,16S
278,214,8.708932984,16S
279,525,8.483742618,16S
280,242,9.133793999,16S
281,249,8.501233899,16S
282,747,9.495327252,16S
283,620,9.334919709,16S
284,238,8.147901584,16S
285,234,9.326726421,16S
286,608,9.172988251,16S
287,421,8.690429438,16S
288,241,9.174359748,16S
289,353,7.447351892,16S
290,340,9.127604143,16S
291,347,9.639860766,16S
292,440,8.910794982,16S
293,547,9.523967323,16S
294,419,8.933170313,16S
295,352,9.392944696,16S
296,501,8.922277871,16S
297,508,8.468279167,16S
298,320,8.426957114,16S
299,654,9.582704958,16S
300,235,8.811768865,16S
301,506,8.76948685,16S
302,738,9.01182612,16S
303,609,9.339296614,16S
304,616,9.606161607,16S
305,554,9.49930716,16S
306,445,8.911921841,16S
307,329,9.363584075,16S
308,336,8.891908841,16S
