ID,NH4N_net,mg_kg_NH4N
201,3.700747259,6.827792927
202,10.39490139,10.35026416
203,12.68937131,7.74100974
204,11.9548339,8.793204538
205,7.587939198,5.551253756
206,14.11761427,0.864165889
207,8.958266951,6.351548172
208,10.37959002,8.008440947
209,8.402244487,8.845353951
210,8.803727768,10.95643057
211,9.933681259,8.096854902
212,8.058560488,9.445124625
213,6.979286942,7.880130713
214,7.550028085,5.918983207
215,16.16671688,3.994831435
216,14.31822987,4.01357769
217,6.848306919,5.67791078
218,14.9051909,4.971154068
219,11.26448502,8.145311053
220,13.35378976,5.760285623
221,9.403421241,7.808014559
222,12.55002271,6.288357174
223,14.39665557,5.702865887
224,16.94774838,2.497406581
225,15.59196452,4.634629582
226,9.496544774,6.215029896
227,7.017900433,10.79476457
228,8.977607238,6.723476596
229,12.29613216,0.360921744
230,15.16579223,0.215646276
231,14.09312867,0.296740709
232,11.94291818,0.195587228
233,11.12041723,0.124578534
234,14.5705056,0.170010558
235,12.77492635,0.18611568
236,17.78851776,0.336544526
237,15.80754721,2.929897904
238,14.12383785,0.120771242
239,14.79019329,0.156060092
240,14.62876638,0.395465377
241,20.30723628,0.437886936
242,12.19490061,0.292038528
243,13.61395993,0.179581932
244,8.541240454,0.432265439
245,16.88505866,0.817123862
247,14.04462145,0.283719405
248,15.08821001,0.346699416
249,13.63819705,0.244546259
250,12.36028149,0.280709017
251,14.52454247,0.314216771
252,13.03758279,0.255180069
253,10.71817249,0.279577179
254,9.052904259,3.743291015
255,14.48041169,0.394375994
256,12.99793176,0.217168603
301,2.841857915,15.90222458
302,17.00991148,2.094413084
303,12.4194892,0.825988384
304,16.19213561,2.298280612
305,8.879915162,9.222524582
306,11.87495187,0.872958884
307,20.25878807,0.907668035
308,1.479354989,10.95399162
309,19.34638604,0.632161362
310,12.63076926,0.466635416
311,12.26527395,0.545198698
312,8.588157899,10.31109285
313,10.30863997,0.666559668
314,-2.082679116,16.33887685
315,2.392179077,12.07892917
316,10.2929663,0.321896343
317,14.88630507,0.544593017
318,13.86321874,0.542297724
319,8.918894703,11.94605943
320,13.75789515,0.516148238
321,13.8664544,0.43941202
322,6.267154079,10.38989616
323,7.733055027,0.878641735
324,8.17087612,3.433018201
325,8.977355635,1.927762007
326,10.13577749,6.410039677
327,6.155512896,0.80575904
328,13.51158557,0.634552772
329,9.843670822,5.160125743
330,7.964107568,0.741218818
331,10.75856144,0.611153408
332,10.58667017,0.764586634
333,9.787627048,0.682240021
334,17.15915359,0.823908824
335,10.73773612,0.109377134
336,13.01662103,1.072657287
337,13.14473381,1.274733484
338,17.25154074,0.797348105
339,10.81573561,0.836049669
340,10.719771,0.983689314
341,13.20592814,0.87393776
342,13.81583844,1.027910869
343,11.45503236,1.044542322
344,16.6537285,1.017537547
345,13.62928083,0.958668126
346,12.71621033,0.929167425
347,12.61634529,1.003383407
348,16.01026002,0.898832046
349,12.06977355,0.474329618
350,17.24149347,-0.17658824
351,18.29388999,-0.248453104
352,21.30847408,0.375270124
353,17.99526569,0.25810414
354,10.23048509,0.369104998
355,16.90761874,0.53021322
356,7.528515353,0.320382019
401,3.346726307,0.878719741
402,5.553258819,1.22359859
403,5.347259709,0.834173354
404,5.849476552,0.702722255
405,4.611861885,0.779294346
406,4.105234765,0.635494388
407,4.372316845,0.492220526
408,3.68225342,1.029452826
409,4.515836778,0.857998634
410,4.410540031,0.747409388
411,3.785108239,0.55803606
412,4.641520209,0.560198515
413,5.360653911,0.745643569
414,7.378226934,0.689326646
415,6.180354398,0.690480935
416,6.863329976,1.018565759
417,6.126615378,1.022448576
418,5.927388453,0.883702231
419,4.22946276,1.000631571
420,6.028181679,0.827137774
421,5.17153287,1.001532436
422,-2.283619942,6.601999526
423,-0.79758193,5.832128284
424,4.309461835,0.540937931
425,3.771166229,0.87423445
426,4.705711608,0.597982336
427,4.426678748,0.63172858
428,5.489813259,0.631176377
429,5.76479216,0.671517235
430,6.444930147,0.903017718
431,4.898582263,0.425808905
432,5.126151947,0.680776968
433,5.64895914,0.774401096
434,6.17629088,0.470413915
435,5.134270708,0.812689822
436,4.548084503,0.672354548
437,6.473445689,0.623081217
438,6.605013651,0.507676971
439,5.593881444,0.569515317
440,6.8192958,1.111783902
441,5.609476864,0.969248638
442,4.956445169,0.993797029
443,4.717572645,1.077005023
444,6.012456903,1.217842578
445,7.289343215,1.401852221
446,4.211125059,0.669440152
447,9.797258067,0.656491549
448,5.384966813,0.806475407
449,4.117836411,0.56235553
450,3.220266401,0.474914666
451,5.385321228,0.7070035
452,5.527121524,0.858902988
453,3.607638306,0.529578697
454,4.673207065,0.562092359
455,7.654478378,1.307333479
456,4.603006113,0.665600843
501,4.35142273,0.689744661
502,-0.320252602,10.48990202
503,6.112332409,1.138816285
504,0.829967435,3.541364906
505,2.257781833,1.866194379
506,3.860168104,1.404746885
507,7.762272563,-0.590631992
508,3.212697247,0.895077495
509,5.682074296,0.872472479
510,5.526856406,1.024276181
511,2.761989619,0.746077041
512,3.926001068,0.53514786
513,2.956856197,1.162507531
514,3.297876044,0.815066194
515,4.727078816,0.728963199
516,4.067670314,0.980851783
517,6.182228107,0.861733049
518,5.436471995,1.019816119
519,5.24844036,0.398125353
520,6.938364893,0.610468202
521,6.600878598,0.581266313
522,3.787983381,0.756359203
523,3.517727706,0.486792097
524,3.060178698,0.591615133
525,2.76230054,0.478984341
526,4.243901737,0.691998181
527,3.475620024,0.76648213
528,4.504885324,0.641441043
529,5.787917716,1.275507062
530,0.809542202,8.86171651
531,5.386258823,0.724976711
532,5.467029811,0.456017873
533,3.651943137,3.401296196
534,4.979570853,0.602108218
535,5.448672631,0.767423127
536,5.760282934,1.356017154
537,1.064809482,6.690147569
538,9.599797832,1.05545385
539,1.324910017,7.126119135
540,5.707855845,0.758288511
541,1.129606586,4.621749667
542,3.191055047,3.84889024
543,5.677059384,1.228100852
544,9.76486169,0.86515068
545,2.880370868,3.898190692
546,4.391365286,0.504930079
547,6.304977416,0.352622054
548,7.860550085,0.573751673
549,4.809557888,0.207297206
550,7.681110675,0.552389158
551,7.010328864,0.622382276
552,7.507225047,0.602425504
553,4.831933569,0.175830064
554,5.53163063,1.543762393
555,6.933543311,1.256343506
556,4.732955942,2.593635075
601,12.91850791,0.509757293
602,15.66923628,0.540579298
603,16.09492267,0.485649754
604,10.1212081,0.339014509
605,11.09349468,0.300590958
606,5.767955768,0.572845325
607,12.65324015,0.624564597
608,5.902281449,0.455881586
609,11.46645627,0.96844567
610,15.42786356,0.878646836
611,10.69008137,0.445001156
612,12.56057444,0.227927194
613,12.41077748,0.315011743
614,11.54160478,0.296280943
615,11.96379113,0.407975341
616,13.47525472,0.564264294
617,17.45231819,0.811657904
618,20.44128667,0.708127703
619,17.89955954,0.364486847
620,18.17180689,0.278011725
621,20.37289621,0.253518517
622,8.125770154,0.189890805
623,5.66704123,0.419953836
624,7.771257478,0.33245056
625,10.74320778,0.465530496
626,10.686264,0.590023625
627,5.905421238,0.593929692
628,8.437670994,0.613002448
629,12.11668506,0.268587059
630,13.51531213,0.829571843
631,11.32400934,0.563396321
632,10.41353638,0.604446449
633,13.31033141,0.549391218
634,13.0002102,0.823061969
635,13.70522612,0.631017072
636,14.39702861,0.476134788
637,13.16041015,0.989809687
638,13.01642578,0.493879479
639,11.00893747,0.423545119
640,11.17772892,0.550456526
641,15.58931007,1.027370195
642,11.307241,0.619163468
643,16.0109159,0.552698384
644,16.72652744,0.773745444
645,16.23220858,0.800236596
646,11.74185718,0.479729223
647,21.82288694,0.51612248
648,15.92900052,1.260517066
649,14.7930041,0.553527039
650,13.05237052,0.734264792
651,16.68995729,1.055109924
652,10.67677607,0.95786452
653,13.117066,0.61604981
654,21.76782095,0.951367488
655,8.933537081,1.428588199
656,14.4840576,0.778639863
