sample,auc_dea,log_auc_dea,mmol_kg_hr,treatment,location,timepoint
322,1.7202636838875,1.3137945485384477,0.16257,maize monoculture,Rubona,2
323,1.1612165112750001,1.1509569254386112,0.79961,Napier grass,Rubona,2
324,0.86339445410625,1.0520077931210403,0.9966200000000001,Brachiaria cv. Mulato II,Rubona,2
325,0.6007872922275,0.9558142038942296,0.74749,Desmodium distortum,Rubona,2
326,2.3697257734125,1.4747002550589852,3.2923000000000004,Maize + Desmodium,Rubona,2
327,0.8764020207375001,1.0565402147690743,0.0083408,Napier + Desmodium,Rubona,2
328,0.806523986295,1.0319467020569844,1.1533,Brachiaria + Desmodium,Rubona,2
329,0.9249903177375,1.0732911705031276,1.6407,maize monoculture,Karama,2
330,0.9105811673249999,1.0683527751006319,-0.040988000000000004,Napier grass,Karama,2
331,2.7622977296699998,1.5607302680905137,2.7960000000000003,Brachiaria cv. Mulato II,Karama,2
332,-0.2069156390625,0.5839372436765176,0.19985,Desmodium distortum,Karama,2
333,7.17338642393625,2.2163065118733365,6.560300000000001,Maize + Desmodium,Karama,2
334,1.0483452399375,1.1145988991061289,0.021075,Napier + Desmodium,Karama,2
335,0.601634702775,0.9561399792949212,-0.42833,Brachiaria + Desmodium,Karama,2
336,17.158438881712502,2.95274329123325,23.154,maize monoculture,Karama,2
337,0.9666332090249999,1.0874277101496472,-0.050693,Napier grass,Karama,2
338,1.8855986270249998,1.3572770586997884,2.1241,Brachiaria cv. Mulato II,Karama,2
339,0.7319604442500001,1.005019462925103,1.4213,Desmodium distortum,Karama,2
340,10.113621350362502,2.4943305508771156,15.543000000000001,Maize + Desmodium,Karama,2
341,0.47200122751500007,0.9050280361628777,-0.40042,Napier + Desmodium,Karama,2
342,0.79414901245125,1.0275275924302423,0.7811699999999999,Brachiaria + Desmodium,Karama,2
343,2.3276540653125,1.4650256088932048,2.9475000000000002,maize monoculture,Karama,2
344,4.098685541212499,1.8080732629118959,4.6271,Napier grass,Karama,2
345,0.14261310431250007,0.7620261609073804,0.75125,Brachiaria cv. Mulato II,Karama,2
346,0.43978568526750006,0.8919102015407248,-0.26188,Desmodium distortum,Karama,2
347,1.1381616736875,1.14363717423526,0.17334,Maize + Desmodium,Karama,2
348,1.4775811865625,1.246336990786651,2.1253,Napier + Desmodium,Karama,2
349,0.8049282423749999,1.0313779566064354,-0.10903,Brachiaria + Desmodium,Karama,2
350,0.7401697342125,1.0080198652742387,0.04709000000000001,maize monoculture,Karama,2
351,10.9236578884875,2.5590595765880177,17.199,Napier grass,Karama,2
352,0.7398211867875,1.0078926579739003,0.29018,Brachiaria cv. Mulato II,Karama,2
353,5.415269132475,2.003541270612275,5.7949,Desmodium distortum,Karama,2
354,2.6409322130625004,1.5349152540464648,3.0542,Maize + Desmodium,Karama,2
355,14.951377904025001,2.830349122795283,20.966,Napier + Desmodium,Karama,2
356,0.19399714695000003,0.7857250614647728,0.77955,Brachiaria + Desmodium,Karama,2
401,2.04005430042,1.396258132580753,2.3465000000000003,maize monoculture,Rubona,3
402,2.3707054544924997,1.474924427312861,2.4301,Napier grass,Rubona,3
403,1.71578403427125,1.3125897014670067,1.6675,Brachiaria cv. Mulato II,Rubona,3
404,1.419280808505,1.2294302390496714,1.6633,Desmodium distortum,Rubona,3
405,1.2072623379449998,1.1654177190321107,1.3905,Maize + Desmodium,Rubona,3
406,1.0866567459787502,1.127088545939052,1.0275,Napier + Desmodium,Rubona,3
407,1.80698674532625,1.3368379957358412,1.7869000000000002,Brachiaria + Desmodium,Rubona,3
