"","ID","NP","location","auc_np","pH","treatment","gwc","block","timepoint"
"68","313",0.017707,"Rubona",963.549597264372,5.6,"Napier + Desmodium",0.106796117,2,2
"69","314",-0.19595,"Rubona",1394.74620011697,NA,"Brachiaria + Desmodium",0.104639684,2,2
"70","315",-0.45602,"Rubona",2747.14546412052,5.33,"maize monoculture",0.141538462,3,2
"71","316",0.082214,"Rubona",1247.97507686532,5.34,"Napier grass",0.129139073,3,2
"72","317",-0.048379,"Rubona",986.926401177401,5.74,"Brachiaria cv. Mulato II",0.127802691,3,2
"73","318",-0.022622,"Rubona",1234.38527094746,5.34,"Desmodium distortum",0.130965594,3,2
"74","319",-0.2277,"Rubona",1957.3777744612,5.39,"Maize + Desmodium",0.118119266,3,2
"75","320",0.18401,"Rubona",1541.59743119169,5.42,"Napier + Desmodium",0.126518219,3,2
"76","321",-0.061886,"Rubona",1297.53599366386,5.54,"Brachiaria + Desmodium",0.125443787,3,2
"77","322",-0.20261,"Rubona",1846.95794215744,5.05,"maize monoculture",0.137970353,4,2
"78","323",-0.091219,"Rubona",848.82019215026,5.29,"Napier grass",0.10882016,4,2
"79","324",0.12839,"Rubona",788.048467667258,5.35,"Brachiaria cv. Mulato II",0.120940649,4,2
"80","325",-0.087294,"Rubona",1175.60671449372,5.22,"Desmodium distortum",0.102857143,4,2
"81","326",-0.1896,"Rubona",2373.38660343592,5.21,"Maize + Desmodium",0.127336449,4,2
"82","327",-0.0031677,"Rubona",763.456664701366,5.26,"Napier + Desmodium",0.102396514,4,2
"83","328",-0.025959,"Rubona",1056.12797545306,5.78,"Brachiaria + Desmodium",0.125565611,4,2
"84","329",0.027489,"Karama",1141.1188700879,5.88,"maize monoculture",0.053459119,1,2
"85","330",0.091062,"Karama",755.165986987311,5.99,"Napier grass",0.136200717,1,2
"86","331",0.047051,"Karama",626.845037018683,6.06,"Brachiaria cv. Mulato II",0.13,1,2
"87","332",0.13172,"Karama",844.018518843211,6.13,"Desmodium distortum",0.116359447,1,2
"88","333",-0.037276,"Karama",1078.88255960772,6.16,"Maize + Desmodium",0.106359649,1,2
"89","334",0.24342,"Karama",700.09240232778,6.34,"Napier + Desmodium",0.12195122,1,2
"90","335",-0.029555,"Karama",673.297215278702,6.09,"Brachiaria + Desmodium",0.126245847,1,2
"91","336",0.26493,"Karama",1707.63355562704,5.85,"maize monoculture",0.099552573,2,2
"92","337",0.15844,"Karama",588.656129245867,6.77,"Napier grass",0.073198198,2,2
"93","338",0.098125,"Karama",690.33946493678,6.45,"Brachiaria cv. Mulato II",0.076147816,2,2
"94","339",0.081231,"Karama",707.133128800563,6.21,"Desmodium distortum",0.122988506,2,2
"95","340",-0.088221,"Karama",1860.94037650806,5.96,"Maize + Desmodium",0.137472284,2,2
"96","341",-0.001834,"Karama",820.371779549588,6.25,"Napier + Desmodium",0.104072398,2,2
"97","342",0.089362,"Karama",851.129719348903,5.93,"Brachiaria + Desmodium",0.122401848,2,2
"98","343",-0.24342,"Karama",2251.11477165246,6.22,"maize monoculture",0.10426009,3,2
"99","344",0.23483,"Karama",979.91166165713,6.15,"Napier grass",0.1375,3,2
"100","345",-0.048213,"Karama",993.80845079677,6.15,"Brachiaria cv. Mulato II",0.105145414,3,2
"101","346",-0.057802,"Karama",1125.44685694614,5.85,"Desmodium distortum",0.092841163,3,2
"102","347",0.26634,"Karama",1490.0267515547,6.19,"Maize + Desmodium",0.104426788,3,2
"103","348",0.19803,"Karama",1026.05002218355,6.25,"Napier + Desmodium",0.132571429,3,2
"104","349",0.18371,"Karama",827.96045342401,6.29,"Brachiaria + Desmodium",0.12412993,3,2
"105","350",-0.32386,"Karama",2210.41122813422,6.31,"maize monoculture",0.130242826,4,2
"106","351",0.32423,"Karama",980.040296831015,6.49,"Napier grass",0.145475372,4,2
