sample,gwc,pH,timepoint,date,location,treatment,block
325,0.1,5.22,2,10/7/20,Rubona,Desmodium distortum,4
326,0.13,5.21,2,10/7/20,Rubona,Maize + Desmodium,4
327,0.1,5.26,2,10/7/20,Rubona,Napier + Desmodium,4
328,0.13,5.78,2,10/6/20,Rubona,Brachiaria + Desmodium,4
329,0.05,5.88,2,10/6/20,Karama,maize monoculture,1
330,0.14,5.99,2,10/6/20,Karama,Napier grass,1
331,0.13,6.06,2,10/6/20,Karama,Brachiaria cv. Mulato II,1
332,0.12,6.13,2,10/6/20,Karama,Desmodium distortum,1
333,0.11,6.16,2,10/6/20,Karama,Maize + Desmodium,1
334,0.12,6.34,2,10/6/20,Karama,Napier + Desmodium,1
335,0.13,6.09,2,10/6/20,Karama,Brachiaria + Desmodium,1
336,0.1,5.85,2,10/6/20,Karama,maize monoculture,2
337,0.07,6.77,2,10/6/20,Karama,Napier grass,2
338,0.08,6.45,2,10/6/20,Karama,Brachiaria cv. Mulato II,2
339,0.12,6.21,2,10/6/20,Karama,Desmodium distortum,2
340,0.14,5.96,2,10/6/20,Karama,Maize + Desmodium,2
341,0.1,6.25,2,10/6/20,Karama,Napier + Desmodium,2
342,0.12,5.93,2,10/6/20,Karama,Brachiaria + Desmodium,2
343,0.1,6.22,2,10/6/20,Karama,maize monoculture,3
344,0.14,6.15,2,10/6/20,Karama,Napier grass,3
345,0.11,6.15,2,10/6/20,Karama,Brachiaria cv. Mulato II,3
346,0.09,5.85,2,10/6/20,Karama,Desmodium distortum,3
347,0.1,6.19,2,10/6/20,Karama,Maize + Desmodium,3
348,0.13,6.25,2,10/6/20,Karama,Napier + Desmodium,3
349,0.12,6.29,2,10/6/20,Karama,Brachiaria + Desmodium,3
350,0.13,6.31,2,10/6/20,Karama,maize monoculture,4
351,0.15,6.49,2,10/6/20,Karama,Napier grass,4
352,0.16,6.47,2,10/6/20,Karama,Brachiaria cv. Mulato II,4
353,0.12,6.48,2,10/6/20,Karama,Desmodium distortum,4
